cell,batch,duration_ns
moves/census/ADD/groups/middle/full,24,161564444
moves/census/ADD/groups/middle/full,25,161161659
moves/census/ADD/groups/middle/full,26,159616917
moves/census/ADD/groups/middle/full,27,157899738
moves/census/ADD/groups/middle/full,28,159383962
moves/census/ADD/groups/middle/full,29,167090490
moves/census/ADD/groups/middle/incremental,0,196771079
moves/census/ADD/groups/middle/incremental,1,195083443
moves/census/ADD/groups/middle/incremental,2,198474466
moves/census/ADD/groups/middle/incremental,3,195180240
moves/census/ADD/groups/middle/incremental,4,196551702
moves/census/ADD/groups/middle/incremental,5,200272350
moves/census/ADD/groups/middle/incremental,6,205259785
moves/census/ADD/groups/middle/incremental,7,193983463
moves/census/ADD/groups/middle/incremental,8,193434353
moves/census/ADD/groups/middle/incremental,9,193738482
moves/census/ADD/groups/middle/incremental,10,196982132
moves/census/ADD/groups/middle/incremental,11,195193127
moves/census/ADD/groups/middle/incremental,12,203346293
moves/census/ADD/groups/middle/incremental,13,194026328
moves/census/ADD/groups/middle/incremental,14,194002105
moves/census/ADD/groups/middle/incremental,15,194766322
moves/census/ADD/groups/middle/incremental,16,194075232
moves/census/ADD/groups/middle/incremental,17,195572987
moves/census/ADD/groups/middle/incremental,18,195400085
moves/census/ADD/groups/middle/incremental,19,192717121
moves/census/ADD/groups/middle/incremental,20,197244734
moves/census/ADD/groups/middle/incremental,21,194273897
moves/census/ADD/groups/middle/incremental,22,191824167
moves/census/ADD/groups/middle/incremental,23,205976967
moves/census/ADD/groups/middle/incremental,24,196067642
moves/census/ADD/groups/middle/incremental,25,197354138
moves/census/ADD/groups/middle/incremental,26,194986885
moves/census/ADD/groups/middle/incremental,27,193044404
moves/census/ADD/groups/middle/incremental,28,193519404
moves/census/ADD/groups/middle/incremental,29,197371162
moves/census/ADD/groups/upper/full,0,164299701
moves/census/ADD/groups/upper/full,1,167801510
moves/census/ADD/groups/upper/full,2,154592185
moves/census/ADD/groups/upper/full,3,155474416
moves/census/ADD/groups/upper/full,4,156698009
moves/census/ADD/groups/upper/full,5,156566717
moves/census/ADD/groups/upper/full,6,156013049
moves/census/ADD/groups/upper/full,7,155870676
moves/census/ADD/groups/upper/full,8,156999873
moves/census/ADD/groups/upper/full,9,155856709
moves/census/ADD/groups/upper/full,10,159868551
moves/census/ADD/groups/upper/full,11,157569341
moves/census/ADD/groups/upper/full,12,158505338
