neighborhood_size,candidate_count,candidate_ratio
261,4,0.001775410563692854
262,1,0.0004438526409232135
263,3,0.0013315579227696406
264,2,0.000887705281846427
265,2,0.000887705281846427
266,4,0.001775410563692854
267,2,0.000887705281846427
268,1,0.0004438526409232135
269,2,0.000887705281846427
270,3,0.0013315579227696406
271,3,0.0013315579227696406
275,1,0.0004438526409232135
276,2,0.000887705281846427
277,2,0.000887705281846427
278,1,0.0004438526409232135
279,2,0.000887705281846427
280,1,0.0004438526409232135
282,1,0.0004438526409232135
283,4,0.001775410563692854
284,5,0.0022192632046160675
287,2,0.000887705281846427
288,1,0.0004438526409232135
290,1,0.0004438526409232135
292,1,0.0004438526409232135
293,1,0.0004438526409232135
295,1,0.0004438526409232135
296,1,0.0004438526409232135
302,1,0.0004438526409232135
303,1,0.0004438526409232135
305,1,0.0004438526409232135
306,1,0.0004438526409232135
307,1,0.0004438526409232135
315,1,0.0004438526409232135
316,1,0.0004438526409232135
317,1,0.0004438526409232135
318,1,0.0004438526409232135
322,1,0.0004438526409232135
323,1,0.0004438526409232135
324,2,0.000887705281846427
332,1,0.0004438526409232135
334,2,0.000887705281846427
342,1,0.0004438526409232135
351,1,0.0004438526409232135
361,1,0.0004438526409232135
363,1,0.0004438526409232135
365,1,0.0004438526409232135
374,1,0.0004438526409232135
380,1,0.0004438526409232135
382,1,0.0004438526409232135
409,1,0.0004438526409232135
