query,truth,zero_truth,frozen_estimate,fresh_replay_estimate,fresh_native_estimate,frozen_qerror,fresh_replay_qerror,semantic_relative_error,mcv_trace_changed,fd_trace_changed,control_class
dmv.1076,873957,False,,1274995.9607268206,1274995.9607268206,,1.458877222479848,0.0,False,False,unchanged
dmv.1077,10529464,False,,10639571.765741706,10639571.765741706,,1.0104571102329336,0.0,False,False,unchanged
dmv.1078,5124289,False,,5872016.836832489,5872016.836832487,,1.1459183580068355,3.1720705185098113e-16,False,False,unchanged
dmv.1079,11443911,False,,11543793.986015053,11543793.986015053,,1.0087280463833608,0.0,False,False,unchanged
dmv.1080,824286,False,,1577516.6728914727,1577516.6728914725,,1.9137977266282244,1.4759314285224518e-16,False,False,unchanged
dmv.1081,3389798,False,,3334570.0471136635,3334570.047113664,,1.0165622410403825,1.3964657533909241e-16,False,False,unchanged
dmv.1082,710809,False,,678200.8871550014,678200.8871550015,,1.0480803158217429,1.7165315473898564e-16,False,False,unchanged
dmv.1083,5790305,False,,6185000.275801348,6185000.275801349,,1.0681648506946262,3.011552249267485e-16,False,False,unchanged
dmv.1084,10946002,False,,11070620.596141562,11070620.596141562,,1.0113848504816245,0.0,False,False,unchanged
dmv.1085,2022867,False,,1959904.843975071,1959904.843975071,,1.0321251086339627,0.0,False,False,unchanged
dmv.1086,1997584,False,,2422210.23308627,2422210.23308627,,1.212569900983523,0.0,False,False,unchanged
dmv.1087,1567423,False,,1398777.0021221994,1398777.0021221992,,1.1205667505413186,1.6645301095215548e-16,False,False,unchanged
dmv.1088,4524870,False,,4716902.605953842,4716902.6059538415,,1.0424393642146277,1.9744367276948441e-16,False,False,unchanged
dmv.1089,49226,False,,13413.696159626272,13413.696159626275,,3.6698311497590623,2.712137477842701e-16,False,False,unchanged
dmv.1090,1664123,False,,1597332.310241203,1597332.3102412033,,1.0418138976658597,1.4576218245952298e-16,False,False,unchanged
dmv.1091,195854,False,,476362.7847167018,476362.78471670166,,2.432234137248674,2.4438374609000644e-16,False,False,unchanged
dmv.1092,2028,False,,768.9896684274818,768.9896684274817,,2.6372265886836774,1.4783922644122895e-16,False,False,unchanged
dmv.1093,469648,False,,466613.57332039427,466613.5733203954,,1.0065030827500643,2.3701529929488243e-15,False,False,unchanged
dmv.1094,6529824,False,,6504133.768808625,6504133.768808625,,1.0039498313079869,0.0,False,False,unchanged
dmv.1095,181337,False,,360479.3144440643,360479.3144440645,,1.9878971993805141,6.458918288083848e-16,False,False,unchanged
dmv.1096,1199003,False,,1727197.3257455048,1727197.3257455043,,1.4405279434209128,2.696051460748687e-16,False,False,unchanged
dmv.1097,896837,False,,906475.1221935403,906475.1221935403,,1.0107467936687942,0.0,False,False,unchanged
dmv.1098,10620246,False,,10522277.25317274,10522277.253172738,,1.009310603063393,1.7701920453287063e-16,False,False,unchanged
dmv.1099,1591619,False,,1581326.0319778668,1581326.031977866,,1.0065090739126448,4.417127884045266e-16,False,False,unchanged
dmv.1100,1,False,,5735.282026397214,5735.282026397215,,5735.282026397214,1.5857889770492312e-16,False,False,unchanged
dmv.1101,10806872,False,,10932516.672020162,10932516.672020163,,1.0116263681128232,1.703766118187651e-16,False,False,unchanged
dmv.1102,10958090,False,,10924934.69988735,10924934.699887348,,1.0030348282185149,1.7049485423928104e-16,False,False,unchanged
dmv.1103,9852539,False,,9875309.862198068,9875309.86219807,,1.0023111669183007,1.8861637510343045e-16,False,False,unchanged
dmv.1104,1319106,False,,1279523.175392336,1279523.1753923362,,1.030935605832639,1.8196672645845393e-16,False,False,unchanged
dmv.1105,8008056,False,,7958191.05098133,7958191.050981327,,1.0062658647799767,3.510807551550186e-16,False,False,unchanged
dmv.1106,585435,False,,601945.5149267594,601945.5149267594,,1.0282021316230827,0.0,False,False,unchanged
dmv.1107,141008,False,,140367.1034570766,140367.10345707662,,1.0045658599995217,2.0734082088994215e-16,False,False,unchanged
dmv.1108,146203,False,,178811.80514839076,178811.80514839076,,1.2230378661750494,0.0,False,False,unchanged
dmv.1109,381286,False,,455534.67744151945,455534.67744151934,,1.1947322415234745,2.5555754060431543e-16,False,False,unchanged
