candidate,mechanism,cost,selection_frequency,selected_splits,train_structural,test_structural,train_consumers,test_consumers,train_positive,train_negative,test_positive,test_negative,train_benefit,test_benefit
mcv:1023,mcv,684,0.3,3,12,0,9,0,3,6,0,0,0.37951734827119155,0.0
mcv:1087,mcv,454,0.4,4,13,3,5,1,5,0,1,0,0.3208322440578144,0.28000214623986874
fd:361,fd,27,0.5,5,17,3,7,0,7,0,0,0,0.026965587062821816,0.0
mcv:1816,mcv,1284,0.1,1,3,0,1,0,1,0,0,0,0.3472852738792396,0.0
mcv:1761,mcv,512,0.1,1,2,1,1,1,1,0,0,1,0.06914674324024128,-0.399462005791549
mcv:1880,mcv,300,0.6,6,11,1,7,0,7,0,0,0,9.801844968230538,0.0
fd:626,fd,27,0.4,4,7,1,4,0,4,0,0,0,0.010086808980032114,0.0
mcv:168,mcv,314,0.1,1,6,2,3,2,2,1,0,2,0.2617267119706672,-0.8135868053165429
fd:244,fd,27,0.5,5,9,1,5,0,5,0,0,0,0.03946594894871658,0.0
mcv:497,mcv,862,0.1,1,5,1,5,1,4,1,0,1,0.7334556165484785,-0.6569963447521596
fd:317,fd,41,0.2,2,2,0,2,0,2,0,0,0,0.15796513462891237,0.0
mcv:1281,mcv,352,0.5,5,16,4,11,3,11,0,3,0,18.362753803130108,8.36697143005598
mcv:332,mcv,218,0.1,1,6,1,4,0,3,1,0,0,0.30720225457498773,0.0
mcv:451,mcv,170,0.3,3,17,1,10,1,8,2,1,0,0.14022645279731671,0.01828384420124629
mcv:396,mcv,492,0.2,2,10,2,6,2,6,0,2,0,0.3124894617132743,0.01028101649516211
fd:527,fd,27,0.3,3,3,0,3,0,3,0,0,0,0.031106411076945895,0.0
mcv:908,mcv,492,0.2,2,8,2,6,2,5,0,0,2,22.451336658751185,-0.17774867405076034
mcv:1045,mcv,362,0.7,7,26,2,18,0,14,4,0,0,3.7990072315236296,0.0
fd:621,fd,41,0.6,6,16,2,7,0,6,1,0,0,0.04020039909028106,0.0
mcv:1411,mcv,1052,0.2,2,7,1,4,1,4,0,1,0,0.5367014545291195,3.502606550161792
fd:56,fd,27,0.2,2,11,3,4,3,3,1,2,1,0.0027808581013224476,-0.013226904683428353
mcv:1139,mcv,362,0.4,4,15,1,6,0,5,1,0,0,0.4365097278967056,0.0
mcv:1358,mcv,274,0.3,3,8,4,7,2,3,4,0,2,1.9621343186206774,-0.01793980478703383
mcv:238,mcv,608,0.1,1,6,1,4,0,2,2,0,0,0.19305128250020842,0.0
fd:241,fd,27,0.1,1,1,0,1,0,1,0,0,0,0.00018077727513921005,0.0
mcv:1095,mcv,304,0.2,2,6,2,3,1,3,0,1,0,4.119229863261385,3.048162744434535e-08
mcv:613,mcv,218,0.3,3,16,2,9,0,9,0,0,0,1.6252131945227448,0.0
fd:24,fd,27,0.7,7,14,0,7,0,7,0,0,0,0.8645481945649045,0.0
mcv:878,mcv,362,0.1,1,5,0,5,0,2,3,0,0,0.15337979490426012,0.0
fd:97,fd,27,0.2,2,3,1,2,0,2,0,0,0,0.07061077441691443,0.0
mcv:832,mcv,1500,0.8,8,34,6,22,1,21,1,1,0,10.401150170577909,0.34693884669340824
mcv:777,mcv,170,0.1,1,4,1,2,0,2,0,0,0,0.02168271736257843,0.0
fd:353,fd,27,0.2,2,5,1,3,1,2,1,0,1,0.008475554730716262,-0.0032080449390106125
mcv:1262,mcv,620,0.6,6,22,2,9,0,9,0,0,0,26.11185563150603,0.0
mcv:1326,mcv,196,0.5,5,18,2,5,1,5,0,1,0,1.823164590541778,2.491170936202991e-08
fd:481,fd,27,0.2,2,3,1,2,0,2,0,0,0,0.15796513462891237,0.0
mcv:1399,mcv,736,0.2,2,6,2,2,0,2,0,0,0,6.838549569116407,0.0
mcv:87,mcv,418,0.5,5,36,4,26,4,21,5,2,2,4.9236916655915435,-1.7494294723412636
fd:90,fd,27,0.7,7,13,1,7,0,7,0,0,0,0.02400425017177521,0.0
mcv:7,mcv,738,0.3,3,27,6,27,6,10,11,0,4,6.930092312312029,-1.9943460990638755
mcv:1401,mcv,460,0.2,2,7,1,5,1,3,2,1,0,0.37821655079236693,0.0012182350669203146
mcv:1346,mcv,540,0.3,3,7,5,4,3,4,0,0,3,0.7108404198027343,-0.07194594253102582
mcv:34,mcv,536,0.2,2,12,8,10,8,8,2,4,4,1.1808514721710126,-0.1043981135964982
mcv:1248,mcv,340,0.3,3,9,3,7,2,6,1,0,2,1.9806194174481888,-0.04084628607135676
mcv:601,mcv,548,0.5,5,25,5,13,2,9,4,1,1,16.759100817690438,-2.04684039384757
mcv:1266,mcv,304,0.5,5,16,4,8,2,7,1,0,2,0.21155838323411813,-8.865001621671809e-09
fd:3,fd,41,0.7,7,44,12,13,2,7,6,0,2,0.03592773953257722,-0.02127336393604118
mcv:219,mcv,704,0.2,2,9,5,8,3,7,1,3,0,0.7926521164129381,0.1560164356242275
mcv:884,mcv,244,0.3,3,13,2,5,0,3,2,0,0,0.32193090726795504,0.0
mcv:1241,mcv,844,0.2,2,5,3,3,2,2,1,0,2,0.7112821945790713,-0.3472925332455028
fd:332,fd,27,0.1,1,1,0,1,0,1,0,0,0,0.017569586684623717,0.0
mcv:2043,mcv,292,0.3,3,6,0,5,0,3,2,0,0,0.685067893582108,0.0
mcv:130,mcv,288,0.1,1,4,4,4,3,3,1,1,2,0.04172118214585274,0.002941654317797804
fd:124,fd,27,0.8,8,34,6,14,2,13,1,2,0,0.02104818319173196,0.0033914262471943513
mcv:258,mcv,218,0.2,2,12,2,11,2,7,4,1,1,0.6503817520004957,-2.9341221948087082e-05
mcv:987,mcv,484,0.5,5,19,6,11,3,10,1,3,0,0.6161139223928569,0.266295302813508
mcv:212,mcv,532,0.2,2,13,1,13,1,11,2,0,1,3.328341647056817,-9.602900163940831e-08
fd:270,fd,27,0.3,3,3,0,3,0,3,0,0,0,0.000491837703046949,0.0
mcv:587,mcv,400,0.1,1,6,0,2,0,1,0,0,0,0.15179705187326897,0.0
mcv:1078,mcv,322,0.7,7,23,5,7,0,7,0,0,0,0.5563489912440707,0.0
mcv:1444,mcv,940,0.1,1,2,2,1,1,1,0,1,0,0.5476715749229422,0.23609709647736743
mcv:123,mcv,148,0.2,2,11,5,10,5,9,1,0,5,0.09746168361841256,-0.10133936704924795
mcv:2118,mcv,148,0.1,1,2,0,2,0,1,1,0,0,0.02932468830118773,0.0
mcv:1199,mcv,812,0.2,2,7,1,3,0,3,0,0,0,0.3151397803800189,0.0
mcv:61,mcv,358,0.1,1,8,1,8,1,5,2,1,0,1.7105043732689609,1.5708654554913437e-07
fd:128,fd,27,0.4,4,16,4,9,1,8,1,1,0,0.0007456249263508852,9.997583195353599e-05
mcv:326,mcv,292,0.2,2,11,3,11,3,8,3,2,1,0.2676061357087347,-0.008746227319787803
mcv:1229,mcv,288,0.1,1,3,1,1,0,1,0,0,0,0.026375663799056648,0.0
fd:329,fd,27,0.4,4,7,1,4,0,4,0,0,0,0.010106694840875008,0.0
mcv:1183,mcv,318,0.1,1,3,1,2,1,2,0,0,1,0.04460389433963252,-0.011439043744776667
fd:704,fd,27,0.2,2,2,0,2,0,2,0,0,0,0.05036244498104603,0.0
mcv:902,mcv,652,0.2,2,9,1,4,1,3,1,0,1,2.6255407712267624,-0.020979093323634235
mcv:191,mcv,348,0.6,6,33,9,19,4,9,10,1,3,0.5922605915467001,-0.10714155795251523
mcv:1158,mcv,462,0.1,1,4,0,3,0,2,1,0,0,0.13102544371595393,0.0
mcv:383,mcv,278,0.4,4,20,4,6,0,6,0,0,0,7.292644963199571,0.0
fd:203,fd,41,0.1,1,1,0,1,0,1,0,0,0,0.1524824511417937,0.0
fd:267,fd,27,0.2,2,4,0,2,0,2,0,0,0,0.00029845512880743996,0.0
mcv:1258,mcv,296,0.6,6,20,4,16,2,16,0,1,1,0.7208917483593782,19.157463154379794
mcv:1569,mcv,196,0.2,2,5,1,3,0,3,0,0,0,0.05779351749137862,0.0
fd:242,fd,27,0.2,2,4,0,2,0,2,0,0,0,0.00036111176535991163,0.0
mcv:440,mcv,196,0.6,6,33,3,12,2,10,2,0,2,1.1428744483450246,-0.1558026596953912
fd:205,fd,27,0.4,4,6,2,4,2,4,0,0,2,0.012790236423668944,-0.007946709011574349
mcv:1306,mcv,646,0.2,2,4,4,3,4,3,0,2,2,0.3536671292797664,-0.12640024015614615
mcv:49,mcv,544,0.1,1,5,4,5,3,3,2,2,1,0.17823012153363993,-0.5050856458385382
mcv:424,mcv,218,0.6,6,28,8,15,3,10,5,2,1,1.9365937506117181,0.04265126446495193
mcv:1226,mcv,288,0.1,1,4,0,1,0,1,0,0,0,0.18426734193801986,0.0
mcv:2065,mcv,244,0.1,1,2,0,2,0,2,0,0,0,0.11818397049420981,0.0
mcv:1372,mcv,626,0.6,6,24,0,12,0,10,2,0,0,1.128015678264047,0.0
mcv:1555,mcv,196,0.1,1,3,0,1,0,1,0,0,0,0.02484737072618448,0.0
fd:109,fd,27,0.2,2,6,0,2,0,2,0,0,0,0.014848487365246577,0.0
mcv:1082,mcv,550,0.1,1,3,1,2,0,2,0,0,0,0.8846369671432934,0.0
mcv:1036,mcv,318,0.1,1,4,0,2,0,2,0,0,0,0.040787680582621944,0.0
mcv:1765,mcv,366,0.2,2,5,1,2,0,2,0,0,0,0.17028500163232607,0.0
mcv:444,mcv,378,0.4,4,19,5,19,5,7,12,5,0,2.299024758146351,0.13829488216737196
mcv:389,mcv,408,0.3,3,13,5,10,4,10,0,4,0,5.599023756460195,1.3849398222256757
fd:447,fd,41,0.2,2,6,2,4,1,3,1,0,1,0.0004261325432384222,-0.00014281494760437496
fd:29,fd,27,0.4,4,15,1,10,1,7,3,0,1,0.0064104748115765275,-0.009604510015831735
mcv:526,mcv,378,0.1,1,5,1,2,0,1,1,0,0,0.41832378306259477,0.0
mcv:1029,mcv,830,0.3,3,11,1,8,0,8,0,0,0,2.9306931382952666,0.0
fd:550,fd,41,0.4,4,10,2,5,2,4,1,1,1,0.0019224110415534401,0.0002313017324657718
mcv:110,mcv,148,0.1,1,4,4,4,3,2,2,1,2,0.03910008825502609,-1.3579085989998272
mcv:1214,mcv,1282,0.1,1,2,2,1,1,1,0,1,0,0.5309010345335359,0.0022246884254368826
mcv:1552,mcv,218,0.5,5,14,1,5,1,5,0,0,1,0.42072256037468003,-0.14566856547249252
mcv:1671,mcv,2142,0.2,2,5,1,5,1,4,1,1,0,4.14571680730316,0.013168178838345534
fd:115,fd,27,0.5,5,16,4,5,0,5,0,0,0,0.051067431066161406,0.0
mcv:1207,mcv,804,0.2,2,4,4,2,1,2,0,0,1,0.562980266859971,-0.21161164165284285
mcv:368,mcv,668,0.3,3,13,5,11,4,7,4,1,3,1.3976481333388722,-0.07026614598557912
mcv:1991,mcv,576,0.3,3,5,1,4,1,4,0,1,0,175.76478087979729,0.04424522052061852
mcv:1280,mcv,602,0.1,1,3,1,2,0,1,1,0,0,0.16795329362099798,0.0
mcv:1225,mcv,480,0.2,2,6,2,5,1,4,1,0,1,0.7262560964972333,-1.1026678297692958
fd:618,fd,41,0.3,3,8,1,5,1,4,1,1,0,0.004219571225438923,0.0009511426550914415
mcv:32,mcv,322,0.4,4,35,5,27,5,16,11,2,3,321.7678375575474,-0.0530078102850966
mcv:224,mcv,292,0.1,1,6,1,5,0,2,3,0,0,0.9910290332589544,0.0
mcv:2210,mcv,292,0.4,4,4,0,4,0,4,0,0,0,9.968998199100394,0.0
fd:218,fd,27,0.3,3,12,0,8,0,5,3,0,0,0.0035511204953737607,0.0
fd:465,fd,27,0.4,4,4,0,4,0,4,0,0,0,0.055214638048761255,0.0
mcv:16,mcv,304,0.4,4,32,8,32,8,18,14,4,4,3.145814691313329,0.0242031673272185
mcv:763,mcv,218,0.3,3,12,3,8,1,8,0,0,1,0.5541109968884703,-0.0011651223892352736
mcv:281,mcv,178,0.1,1,6,1,4,0,3,1,0,0,1.8677133652944218,0.0
mcv:1156,mcv,270,0.2,2,5,3,2,1,2,0,1,0,0.15167292947497124,5.62517779023608e-08
mcv:1275,mcv,244,0.1,1,4,0,1,0,1,0,0,0,0.21461945297805363,0.0
mcv:18,mcv,174,0.1,1,9,1,9,1,4,5,0,1,0.23844453856396552,-0.028963916532593226
mcv:146,mcv,942,0.4,4,23,9,12,8,9,3,3,5,0.9761279094194426,-2.007595281126132
fd:140,fd,27,0.2,2,5,1,2,0,2,0,0,0,0.00031449332259247953,0.0
fd:533,fd,27,0.2,2,2,0,2,0,2,0,0,0,0.0003752351492209982,0.0
mcv:2,mcv,218,0.2,2,18,6,18,6,13,4,3,2,2.5113936135970034,-103.40006793008094
fd:542,fd,27,0.2,2,2,0,2,0,2,0,0,0,0.00952535248330122,0.0
mcv:1588,mcv,196,0.3,3,7,2,4,2,3,1,0,2,0.0802437065655881,-0.028538304175453222
mcv:1469,mcv,440,0.1,1,3,0,3,0,2,1,0,0,3.7647778349712926,0.0
fd:325,fd,41,0.4,4,8,0,4,0,4,0,0,0,0.03768374314937839,0.0
mcv:1197,mcv,218,0.3,3,9,3,4,0,3,1,0,0,0.2819628094340447,0.0
mcv:1380,mcv,366,0.2,2,7,1,2,1,2,0,1,0,1.0025940359847574,0.26351524156682427
fd:352,fd,27,0.5,5,20,5,10,3,8,2,2,1,0.0012677252061286115,0.0004920685893767818
mcv:550,mcv,606,0.3,3,16,2,7,1,7,0,0,1,37.85199479965021,-0.04086847585137843
fd:25,fd,27,0.1,1,2,0,1,0,1,0,0,0,0.0455534108871396,0.0
mcv:1654,mcv,1088,0.2,2,5,1,4,0,4,0,0,0,0.9418542128437046,0.0
