configuration,family,run_order,mcv_count,fd_count,total_count,subset_seed,phase,repetition,seconds,mcv_ids,fd_ids
fd_12_s0,fd_only,10,0,12,12,0,measured,4,0.20689155099898926,,0;6;9;10;12;16;18;19;23;26;30;33
fd_12_s0,fd_only,10,0,12,12,0,measured,5,0.20372603199939476,,0;6;9;10;12;16;18;19;23;26;30;33
fd_12_s0,fd_only,10,0,12,12,0,measured,6,0.2025265779993788,,0;6;9;10;12;16;18;19;23;26;30;33
fd_32_s0,fd_only,11,0,32,32,0,warmup,0,0.30082566300006874,,1;2;3;4;5;6;7;9;10;11;12;13;14;15;16;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34
fd_32_s0,fd_only,11,0,32,32,0,measured,0,0.310428716999013,,1;2;3;4;5;6;7;9;10;11;12;13;14;15;16;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34
fd_32_s0,fd_only,11,0,32,32,0,measured,1,0.3113269749992469,,1;2;3;4;5;6;7;9;10;11;12;13;14;15;16;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34
fd_32_s0,fd_only,11,0,32,32,0,measured,2,0.3059684429990739,,1;2;3;4;5;6;7;9;10;11;12;13;14;15;16;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34
fd_32_s0,fd_only,11,0,32,32,0,measured,3,0.30875153399938426,,1;2;3;4;5;6;7;9;10;11;12;13;14;15;16;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34
fd_32_s0,fd_only,11,0,32,32,0,measured,4,0.3039623760014365,,1;2;3;4;5;6;7;9;10;11;12;13;14;15;16;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34
fd_32_s0,fd_only,11,0,32,32,0,measured,5,0.30829261199869507,,1;2;3;4;5;6;7;9;10;11;12;13;14;15;16;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34
fd_32_s0,fd_only,11,0,32,32,0,measured,6,0.318761208000069,,1;2;3;4;5;6;7;9;10;11;12;13;14;15;16;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34
mcv_32_s0,mcv_only,12,32,0,32,0,warmup,0,0.26409610500013514,0;1;2;4;6;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;26;27;28;29;30;31;32;33;34;35,
mcv_32_s0,mcv_only,12,32,0,32,0,measured,0,0.2465994270005467,0;1;2;4;6;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;26;27;28;29;30;31;32;33;34;35,
mcv_32_s0,mcv_only,12,32,0,32,0,measured,1,0.24419979300000705,0;1;2;4;6;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;26;27;28;29;30;31;32;33;34;35,
mcv_32_s0,mcv_only,12,32,0,32,0,measured,2,0.24956323800142854,0;1;2;4;6;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;26;27;28;29;30;31;32;33;34;35,
mcv_32_s0,mcv_only,12,32,0,32,0,measured,3,0.2526765169986902,0;1;2;4;6;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;26;27;28;29;30;31;32;33;34;35,
mcv_32_s0,mcv_only,12,32,0,32,0,measured,4,0.2598022670008504,0;1;2;4;6;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;26;27;28;29;30;31;32;33;34;35,
mcv_32_s0,mcv_only,12,32,0,32,0,measured,5,0.258999125999253,0;1;2;4;6;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;26;27;28;29;30;31;32;33;34;35,
mcv_32_s0,mcv_only,12,32,0,32,0,measured,6,0.252182829000958,0;1;2;4;6;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;26;27;28;29;30;31;32;33;34;35,
empty,empty,13,0,0,0,,warmup,0,0.12530428700119955,,
